time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-01-31T04:58:44.280Z,26.2977,66.223,10,4.7,mb,,142,8.568,0.74,us,us2000crm3,2018-04-25T01:39:38.040Z,"11km NW of Bela, Pakistan",earthquake,7.2,1.9,0.06,84,reviewed,us,us
2018-01-25T03:48:28.730Z,8.3429,91.8589,10,5.3,mb,,61,5.924,0.78,us,us2000cp5r,2018-04-20T07:05:21.040Z,"165km WNW of Mohean, India",earthquake,8.4,1.7,0.045,162,reviewed,us,us
2018-01-25T01:15:58.290Z,8.2527,91.7665,10,5.8,mww,,22,5.957,0.76,us,us2000cp4g,2018-04-20T07:05:21.040Z,"173km W of Mohean, India",earthquake,7.6,1.7,0.053,34,reviewed,us,us
2018-01-24T19:21:38.390Z,22.8042,94.4713,105.17,4.6,mb,,49,0.821,0.67,us,us2000cnxe,2018-04-20T07:05:19.040Z,"81km E of Falam, Burma",earthquake,3.7,5.9,0.074,55,reviewed,us,us
2018-01-22T07:37:59.270Z,18.2864,96.0706,10,4.7,mb,,37,2.631,0.95,us,us2000cmcq,2018-04-20T07:05:06.040Z,"44km WSW of Pyu, Burma",earthquake,4.1,1.8,0.07,63,reviewed,us,us
2018-01-20T01:14:27.260Z,26.1323,89.8746,11.47,4.5,mb,,67,1.872,0.79,us,us2000clmv,2018-04-10T01:11:48.040Z,"5km NE of Golakganj, India",earthquake,6.8,4.6,0.075,53,reviewed,us,us
2018-01-18T02:03:30.260Z,25.2304,95.0332,83.69,4.5,mb,,45,1.198,0.74,us,us2000ckm4,2018-04-10T01:11:44.040Z,"72km SE of Phek, India",earthquake,7.6,6.5,0.088,38,reviewed,us,us
2018-01-17T07:43:28.090Z,18.4364,96.0954,10,4.5,mb,,104,2.483,0.61,us,us2000ck92,2018-04-10T01:11:43.040Z,"36km W of Pyu, Burma",earthquake,7.8,1.9,0.22,6,reviewed,us,us
2018-01-17T01:25:18.830Z,34.99,86.9597,10,5.1,mb,,40,6.341,1.03,us,us2000ck7m,2018-04-10T01:11:43.040Z,"Western Xizang",earthquake,4.3,1.8,0.043,173,reviewed,us,us
2018-01-14T17:49:55.250Z,18.3202,96.0978,10,4.7,mb,,62,2.59,0.83,us,us2000cjiy,2018-04-03T01:40:30.040Z,"39km WSW of Pyu, Burma",earthquake,3.8,1.9,0.077,52,reviewed,us,us
2018-01-14T15:48:09.590Z,12.1779,92.4336,32.95,4.7,mb,,107,6.873,0.72,us,us2000cjih,2018-04-03T01:40:30.040Z,"61km NNW of Bamboo Flat, India",earthquake,9.3,6.2,0.086,41,reviewed,us,us
2018-01-13T23:29:46.500Z,18.3725,96.0922,10,4.6,mb,,61,2.543,0.57,us,us2000cjdw,2018-04-03T01:40:30.040Z,"38km WSW of Pyu, Burma",earthquake,6.6,1.9,0.079,47,reviewed,us,us
2018-01-12T15:23:55.420Z,18.3926,96.2827,10,4.9,mb,,72,2.526,1.28,us,us2000ciw6,2018-04-03T01:40:28.040Z,"18km WSW of Pyu, Burma",earthquake,7.3,1.9,0.072,60,reviewed,us,us
2018-01-11T20:08:41.120Z,18.5356,96.1126,10,4.6,mb,,72,2.698,0.69,us,us2000cihi,2018-04-03T01:40:27.040Z,"34km W of Pyu, Burma",earthquake,5.6,1.8,0.108,26,reviewed,us,us
